Image index ,Energy ,Configuration coordinate
Initial image (00),0,0
1,0.004189,0.290028
2,0.025258,0.579812
3,0.067142,0.869338
4,0.132192,1.158667
5,0.222273,1.447712
6,0.334134,1.736263
7,0.454358,2.024092
8,0.560921,2.311368
9,0.63153,2.598396
10,0.654701,2.885301
11,0.636466,3.15939
12,0.58836,3.43338
13,0.525924,3.707141
14,0.472805,3.980479
15,0.436157,4.252917
16,0.411157,4.524468
17,0.393999,4.794204
18,0.379628,5.06233
19,0.361021,5.327841
20,0.328515,5.591929
21,0.274156,5.854658
22,0.200492,6.115919
23,0.122368,6.37649
24,0.059242,6.636803
25,0.020581,6.897143
26,0.003197,7.157712
 final image (27),-0.000007,7.418602